Any;ARR_hirundo rustica;ARR_cuculus canorus;ARR_luscinia megarhynchos;ARR_apus apus;AP_apis mellifera;AP_pieris rapae;FL_prunus dulcis;FL_prunus armeniaca;FL_cydonia oblonga;FL_malus domestica;FL_citrus sinensis;FL_juglans regia;FL_vitis vinifera;temp_gen;temp_feb;temp_mar;temp_abr;temp_mai;temp_jun;prec_gen;prec_feb;prec_mar;prec_abr;prec_mai;prec_jun
1945;78,841;93,393;;104,003;69,392;70,016;48,702;66,013;89,91;87,489;102,714;97,608;130,047;2,238;8,339;10,039;15,089;16,154;20,196;83,716;4,769;24,515;22,292;36,583;34,803
1946;78,964;;;;;;55,052;76,92;102,396;103,312;108,208;113,139;149,842;3,857;7,743;8,818;11,238;12,836;18,088;43,167;22,502;73,361;131,388;126,379;28,928
1947;79,036;;;111,492;;;58,83;73,961;99,671;100,866;109,19;106,977;142,277;4,741;6,372;10,509;13,33;15,016;20,688;55,396;162,988;134,33;24,236;65,411;27,613
1948;81,262;;106,765;102,58;;;43,172;67,704;91,169;93,461;98,1;102,128;143,15;7,126;8,155;11,902;11,643;14,285;19,5;130,78;60,014;33,644;68,34;90,45;16,647
1949;78,272;;104,621;108,198;;;50,357;76,589;96,052;101,484;96,409;104,872;140,269;6,057;7,726;8,518;14,097;14,132;19,53;28,574;27,752;60,923;36,962;62,887;39,1
1950;79,114;92,989;108,242;104,36;;;48,099;71,021;91,455;97,207;104,32;104,74;141,879;5,398;8,062;9,968;11,1;14,775;20,548;28,474;50,764;33,676;32,033;82,079;32,903
1951;76,455;;107,641;103,907;;;63,081;80,633;100,028;102,782;117,187;108,661;144;5,938;5,786;8,829;11,232;12,309;18,762;82,778;90,562;97,531;68,562;72,125;37,624
1952;76,976;89,087;102,515;106,283;69,153;77,403;51,229;73,914;97,384;97,924;104,727;104,454;140,68;3,848;6,146;11,596;11,786;15,469;20,365;55,839;26,204;92,139;64,474;70,993;34,788
1953;79,161;92,481;103,929;109,599;74,604;79,85;56,605;80,261;102,528;104,103;113,222;110,038;141,965;3,91;5,149;8,515;11,78;17,161;17,563;31,458;32,128;32,785;66,528;20,649;74,069
1954;76,286;94,992;105,625;109,24;76,039;85,762;52,85;79,448;102,293;108,895;112,755;115,972;147,69;3,908;5,268;9,053;10,515;14,925;18,45;41,483;47,551;86,649;51,286;52,298;40,312
1955;76,397;92,824;104,871;107,861;69,873;79,193;49,354;80,793;98,982;105,479;102,098;111,91;135,87;8,721;7,066;8,138;13,425;16,998;19,378;126,24;94,136;46,451;29,674;39,183;51,281
1956;79,427;97,309;108,854;108,636;86,703;89,187;50,356;86,493;109,66;113,052;108,473;118,857;149,325;6,689;1,504;9,008;10,665;15,084;18,007;81,13;44,084;124,124;89,011;58,984;23,07
1957;75,12;95,347;110,016;109,714;68,052;72,539;52,231;66,174;90,395;92,296;111,272;98,09;150,3;3,696;8,738;11,952;10,826;13,87;17,877;33,008;54,368;39,155;62,516;76,993;64,858
1958;76,472;97,097;110,624;108,182;72,224;82,402;52,396;70,41;101,034;103,67;106,76;114,357;148,46;5,657;8,518;9,072;10,512;16,567;18,212;67,778;38,15;87,73;46,168;44,947;55,213
1959;78,315;93,892;104,686;108,848;68,407;79,301;48,092;73,871;98,728;103,493;103,416;110,638;145,156;7,008;6,814;9,819;11,735;14,585;19,298;55,532;44,795;93,223;54,511;85,869;37,411
1960;79,437;93,319;107,5;106,484;71,366;82,138;45,231;71,052;95,768;100,842;98,75;107,828;141,269;6,014;7,399;10,253;16,5;16,501;20,642;83,242;118,122;106,146;28,055;57,681;51,464
1961;77,107;90,624;101,386;103,925;57,175;65,345;41,127;61,043;80,773;84,23;93,733;93,012;129,795;5,104;9,791;11,448;13,291;16,935;19,589;57,064;13,232;19,523;61,279;71,798;34,106
1962;81,415;93,551;110,982;106,26;73,145;81,593;39,064;74,589;100,117;106,988;103,566;111,353;141,813;7,042;6,691;8,473;11,686;15,236;19,095;75,067;45,161;127,67;66,478;49,935;33,956
1963;82,076;96,113;104,471;106,718;79,054;85,146;62,426;79,642;104,752;108,532;108,818;115;147,939;5,38;24,586;9,125;11,25;14,905;18,734;116,982;105,039;56,243;75,857;28,448;57,893
1964;83,831;96,197;110,281;108,249;77,159;82,368;57,697;77,977;103,388;106,98;105,636;115,056;139,571;5,084;7,601;8,864;11,545;18,616;19,495;14,628;118,577;90,999;43,839;30,879;54,535
1965;84,229;93,247;106,836;108,712;80,78;87,92;62,035;80,126;101,977;104,767;103,28;109,104;138,149;5,091;4,774;9,686;11,933;17,235;20,678;72,641;50,79;76,101;25,203;21,76;16,375
1966;74,036;90,826;104,619;102,978;62,277;68,506;35,27;66,075;90,275;99,664;90,066;109,978;139,519;8,106;9,234;8,952;12,241;16,175;18,989;106,343;133,412;11,814;89,807;37,571;53,417
1967;77,247;90,602;108,083;104,668;66,623;75,119;49,702;67,563;92,547;96,701;92,09;104,866;139,47;5,436;7,177;10,699;10,613;13,828;17,919;47,786;64,661;42,785;46,03;59,688;32,369
1968;80,944;94,965;111,667;105,757;75,127;80,396;57,47;81,973;102,323;108,991;110,066;116,717;148,442;6,043;7,109;8,385;11,471;14,451;19,689;20,074;114,199;60,141;67,502;51,848;26,128
1969;78,997;95,405;110,744;107,369;84,203;86,812;53,34;82,31;104;111,822;104,818;120,533;140,322;6,619;4,951;8,521;11,353;14,438;17,82;84,227;96,105;119,68;79,836;69,015;43,938
1970;77,601;92,738;103,153;108,36;75,902;85,33;47,198;73,662;99,6;109,153;114,29;118,666;138,148;7,166;6,791;7,136;11,268;14,95;19,396;181,653;25,36;34,982;22,471;52,711;47,781
1971;87,711;98,291;110,615;111,027;90,983;98,315;62,435;81,419;107,633;116,782;115,083;122,255;152,588;4,464;6,963;5,956;11,335;13,318;17,25;92,175;16,31;70,713;114,415;121,27;56,231
1972;89,837;97,44;111,231;119,29;89,749;94,682;66,52;82,956;104,747;113,51;115,102;119,357;149,906;3,978;6,453;8,371;10,761;13,479;17,696;97,206;106,411;72,462;36,302;59,888;41,275
1973;92,024;97,32;109,691;115,987;83,029;86,866;50,391;77,348;102,697;108,916;113,285;118,163;142;4,872;5,533;7,674;10,708;15,323;18,841;61,009;31,651;38,248;30,508;82,7;55,107
1974;91,685;96,577;109,58;116,057;78,854;88,248;51,654;78,25;103,411;113,455;110,545;119,58;143,923;6,97;6,024;8,225;9,913;15,132;18,639;66,922;73,272;83,746;71,706;33,707;62,883
1975;89,424;96,996;108,815;113,705;78,769;88,206;42,028;76,459;100,838;110,248;107,909;119,758;150,161;6,899;7,664;6,965;10,764;12,988;18,38;52,346;52,953;93,996;58,392;79,055;47,036
1976;91,786;95,514;109,111;116,292;80,928;84,643;56,115;78,74;98,241;109,179;112,812;120,054;147,043;4,87;6,91;8,789;9,806;15,756;20,934;30,282;52,598;30,651;84,941;44,457;33,364
1977;186,388;92,218;105,452;110,06;72,405;77,651;39,906;65,17;91,046;95,598;96,166;106,418;139,654;5,63;8,133;10,06;11,952;13,22;16,519;113,684;87,433;33,767;37,708;89,117;69,985
1978;86,904;96,98;107,922;111,059;80,527;91,749;47,723;76,311;97,763;106,131;103,44;117,74;152,734;4,808;7,785;9,622;9,751;13,123;16,632;79,093;119,697;51,523;89,335;70,207;52,401
1979;88,105;99,228;110,079;111,447;90,83;100,7;45,368;78,347;103,91;113,283;105,74;121,673;145,961;6,727;7,287;8,097;9,997;14,806;19,654;141,368;136,436;83,51;61,992;42,212;32,863
1980;83,998;96,582;110,084;109,911;79,424;91,205;42,485;77,266;96,689;105,274;107,954;117,909;143,666;5,567;7,999;8,78;10,608;13,173;18,124;53,92;50,776;61,052;56,233;84,406;32,714
1981;85,263;92,37;103,998;108,749;80,757;90,265;54,887;78,869;96,345;106,865;117,928;114,857;144,976;5,323;5,706;11,056;10,741;13,879;20,259;24,869;39,124;46,255;89,005;48,297;30,47
1982;85,034;95,372;104,447;109,332;74,669;90,255;50,81;78,56;98,396;109,723;109,642;116,044;142,744;7,705;7,382;9,21;11,696;15,424;20,077;58,028;57,212;39,101;32,453;51,162;30,652
1983;88,889;97,295;110,427;107,635;80,946;89,548;48,046;76,91;96,741;101,62;108,631;114,255;142,853;5,86;5,174;10,401;10,519;13,11;20,031;4,621;52,024;27,142;90,197;42,762;25,735
1984;91,72;98,565;106,766;112,364;91,397;97,403;55,414;87,533;109,034;111,525;112,538;119,363;152,736;5,907;5,724;7,06;13,306;10,721;17,974;56,512;48,474;79,479;43,692;114,081;44,833
1985;88,742;98,574;108,951;112,47;82,778;89,303;49,881;73,779;97,529;107,141;111,38;114,8;149;3,463;8,76;7,807;12,102;13,166;19,293;87,703;86,415;44,571;67,903;72,42;23,841
1986;91,283;102,935;110,394;112,196;84,431;96,053;60,861;80,133;105,75;118,42;113,59;127,05;151,027;5,698;5,731;8,926;8,111;16,313;19,228;68,85;100,302;35,264;66,112;28,096;15,081
1987;84,297;95,96;107,293;107,503;81,556;83,183;53,766;73,081;99,375;105,62;109,235;113,928;139,558;4,903;6,762;10,142;12,785;14,707;19,025;98,263;80,916;29,115;63,999;24,558;26,91
1988;82,219;95,074;104,858;104,65;76,568;80,597;40;72,203;97,923;106,598;100,409;118,846;146,275;7,507;6,828;9,567;11,41;14,471;17,18;112,381;41,379;20,334;108,45;77,164;102,214
1989;81,311;93,014;106,059;108,137;75,523;75,535;53,91;75,551;91,17;105,676;103,391;117,564;139,69;5,317;7,535;10,928;9,526;16,454;19,681;26,488;60,915;46,555;92,146;67,395;25,601
1990;83,743;94,728;106,006;104,823;73,327;73,133;41,23;71,519;85,872;102,295;89,105;111,771;148,057;5,689;10,208;10,384;10,008;16,137;19,601;60,502;15,938;24,486;78,486;44,493;33,08
1991;88,917;97,796;108,637;107,648;85,342;88,292;56,531;75,26;101,093;108,297;113,368;111,742;151,222;5,253;5,44;9,638;10,119;13,717;19,262;58,997;70,549;100,687;51,988;35,722;16,979
1992;85,111;95,364;110,343;107,087;79,7;85,463;47,953;72,361;93,175;105,235;103,857;110,722;144,093;3,851;6,685;9,435;11,858;16,455;15,657;30,026;31,966;48,025;50,595;61,065;90,873
1993;81,03;92,903;108,113;109,759;79,935;80,529;44,083;74,707;95,268;105,227;109,733;117,057;158,392;5,628;6,201;9,022;10,655;13,899;18,843;11,129;41,554;36,571;69,54;87,047;44,504
1994;81,335;96,933;103,322;110,683;74,522;81,462;35,355;69,5;86,057;96,411;90,625;105,72;148,206;5,92;6,982;11,523;10,28;15,071;19,447;68,757;61,038;9,688;42,564;80,99;15,033
1995;79,516;93,194;105,966;106,016;70,567;77,613;36,403;68;88,611;99,238;96,066;107,703;144,703;6,751;8,658;9,629;12,218;16,423;19,1;53,028;54,109;28,62;22,774;38,138;38,302
1996;77,768;93,208;106,424;104,828;81,084;89,498;39,679;79,807;100,666;109,42;106,133;113,451;149,103;7,641;5,604;8,896;12,159;14,255;19,968;180,158;59,135;51,581;42,828;84,54;19,986
1997;81,102;88,972;102,52;105,287;65,711;74,932;40,326;67,3;83,884;90;91;98,777;138;5,909;9,386;12,254;13,436;15,213;17,55;118,098;9,242;3,225;43,941;83,917;59,984
1998;80,166;95,725;110,614;110,455;66,888;76,664;41,555;67,666;84,5;97,203;95,545;108,956;135,772;7,077;8,914;11,255;10,052;14,467;19,487;53,229;34,856;25,605;85,65;89,623;24,787
1999;81,298;96,147;111,208;111,098;73,663;86,753;46,465;72,192;93,258;99,49;97,941;100,714;139,074;5,808;6,29;9,33;11,825;16,266;19,37;45,363;28,133;55,144;49,055;51,453;21,153
2000;80,62;97,143;108,973;111,177;76,438;76,823;43;65,115;90,264;200,851;96,142;105,68;148,894;3,926;9,343;10,064;9,994;16,085;20,166;26,218;10,387;31,853;125,959;66,069;21,398
2001;78,581;94,539;104,99;109,064;69,842;81,437;34,708;65,96;87,5;97,163;95,923;102,13;143,388;7,018;7,418;11,617;11,665;15,268;20,7;132,303;54,119;121,434;25,484;52,108;8,878
2002;81,32;93,997;108,177;107,164;69,804;82,105;44;71,888;88,571;99,162;105,916;97,15;143,578;6,793;8,142;10,209;11,551;13,978;20,098;48,893;24,352;65,409;67,611;64,293;34,274
2003;81,201;95,471;110,736;112,867;77,776;80,659;43,257;77,888;96,166;104,866;107,583;103,925;142,052;5,432;5,757;10,749;11,903;15,851;22,276;90,973;81,86;46,005;64,559;43,705;22,266
